"name","gps","address","type","phone","website","ratingsAverage","ratingsTotal","plusCode","googleUrl","originalUrl"
"Anatole kebab Grill","49.4053926,1.1533083","1 Rue Jehan le Povremoyne, 76240 Le Mesnil-Esnard, France","Restaurant","+33 2 35 92 33 48","http://www.anatolekebab.fr/",4.3,436,"C543+58 Le Mesnil-Esnard, France","https://maps.google.com/maps?q=+%4049.4053926,1.1533083","https://www.google.com/maps/place/Anatole+kebab+Grill/data=!4m2!3m1!1s0x47e0dec6606b309f:0xa21997b62e30bf3a"
"Antep Sofrasi Kebab Orient Express","49.4266618,1.0619487","104 Av. Jean Jaurès, 76140 Le Petit-Quevilly, France","Turkish restaurant","+33 2 32 12 14 52",,3.9,33,"C3G6+MQ Le Petit-Quevilly, France","https://maps.google.com/maps?q=+%4049.4266618,1.0619487","https://www.google.com/maps/place/Antep+Sofrasi+Kebab+Orient+Express/data=!4m2!3m1!1s0x47e0de1c00f09fb1:0x519fa2ee4e509ed8"
"Anwal","49.4644329,1.0524913","175 Rte de Dieppe, 76250 Déville-lès-Rouen, France","Fast food restaurant","+33 2 76 28 60 33","https://instagram.com/anwal_restaurant?utm_source=qr&igshid=MXZ3aHR2ZDF1bzY2Mw==",4.3,123,"F372+QX Déville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4644329,1.0524913","https://www.google.com/maps/place/Anwal/data=!4m2!3m1!1s0x47e0e76718c13359:0x7c0340a4c147478b"
"Atlas Royal Rouen","49.4377147,1.0836397","49 Quai Cavelier de la Salle, 76100 Rouen, France","Fast food restaurant","+33 2 76 01 92 51",,4.6,,"C3QM+3F Rouen, France","https://maps.google.com/maps?q=+%4049.4377147,1.0836397","https://www.google.com/maps/place/Atlas+Royal+Rouen/data=!4m2!3m1!1s0x47e0dfdfb1a079a7:0x92c78d8a88accc86"
"Au Rendez-Vous","49.4376038,1.0954381","5 Quai Pierre Corneille, 76000 Rouen, France","Fast food restaurant","+33 9 86 32 52 92",,3.9,364,"C3QW+25 Rouen, France","https://maps.google.com/maps?q=+%4049.4376038,1.0954381","https://www.google.com/maps/place/Au+Rendez-Vous/data=!4m2!3m1!1s0x47e0de796cb1b40d:0xd7c95082bf3fff1a"
"Au p'tit creux kebab","49.442398,1.0891281","177 Rue du Gros Horloge, 76000 Rouen, France","Kebab shop",,,4.7,836,"C3RQ+XM Rouen, France","https://maps.google.com/maps?q=+%4049.442398,1.0891281","https://www.google.com/maps/place/Au+p'tit+creux+kebab/data=!4m2!3m1!1s0x47e0dd881b470c47:0x286dff7d8b8e5b47"
"BELLA PIZZA 76 MAROMME, PIZZA, KEBAB, TACOS, BURGER","49.4779055,1.0278329","19 Rue André Maurois, 76150 Maromme, France","Fast food restaurant","+33 2 35 81 10 66","http://bellapizza76.fr/",4.4,373,"F2HH+54 Maromme, France","https://maps.google.com/maps?q=+%4049.4779055,1.0278329","https://www.google.com/maps/place/BELLA+PIZZA+76+MAROMME,+PIZZA,+KEBAB,+TACOS,+BURGER/data=!4m2!3m1!1s0x47e0e708ceb9dda9:0x18cd4d5bb7a5693d"
"Bagdad ambiance","49.4383932,1.0812353","78 Quai Cavelier de la Salle, 76100 Rouen, France","Arab restaurant","+33 6 99 99 34 45","http://bagdadambiance.fr/",4.7,226,"C3QJ+9F Rouen, France","https://maps.google.com/maps?q=+%4049.4383932,1.0812353","https://www.google.com/maps/place/Bagdad+ambiance/data=!4m2!3m1!1s0x47e0df0047218c15:0xd76faa6af2e2efa8"
"COLBERT FOOD ®️","49.4618359,1.0704314","1 Pl. Colbert, 76130 Mont-Saint-Aignan, France","Kebab shop","+33 2 32 83 84 77","https://linktr.ee/colbertfood",4.5,149,"F36C+P5 Mont-Saint-Aignan, France","https://maps.google.com/maps?q=+%4049.4618359,1.0704314","https://www.google.com/maps/place/COLBERT+FOOD+%C2%AE%EF%B8%8F/data=!4m2!3m1!1s0x47e0ddb3aaa7eb69:0x19125ecb8595fdc8"
"CROC'PIZZA","49.4356047,1.0857135","8 Bd d'Orléans, 76100 Rouen, France","Fast food restaurant","+33 2 32 10 45 39","http://www.crocpizza76.fr/",4.1,,"C3PP+67 Rouen, France","https://maps.google.com/maps?q=+%4049.4356047,1.0857135","https://www.google.com/maps/place/CROC'PIZZA/data=!4m2!3m1!1s0x47e0de73e3856f9f:0xb69f2500b0d01221"
"City Food","49.4119329,1.0925639","306 Rue Pierre Mendès-France, 76300 Sotteville-lès-Rouen, France","Fast food restaurant","+33 9 86 59 42 69",,3.7,143,"C36V+Q2 Sotteville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4119329,1.0925639","https://www.google.com/maps/place/City+Food/data=!4m2!3m1!1s0x47e0de5a940208a7:0x1bc43e52e5a3005"
"Coin Chaud","49.4314143,1.0875721","121 Rue Lafayette, 76100 Rouen, France","Kebab shop","+33 2 32 10 49 22",,3.2,46,"C3JQ+H2 Rouen, France","https://maps.google.com/maps?q=+%4049.4314143,1.0875721","https://www.google.com/maps/place/Coin+Chaud/data=!4m2!3m1!1s0x47e0df004bcd6fdb:0x214b20ecf831b3e0"
"Croq Select St Sever Rouen","49.4319447,1.0880792","94 Rue Lafayette, 76100 Rouen, France","Restaurant","+33 2 76 67 88 94",,4.3,,"C3JQ+Q6 Rouen, France","https://maps.google.com/maps?q=+%4049.4319447,1.0880792","https://www.google.com/maps/place/Croq+Select+St+Sever+Rouen/data=!4m2!3m1!1s0x47e0df7abfccd91b:0xce87c9df3f0204d8"
"CÀLM Comme à la maison","49.4421234,1.0985537","8 Rue de la Croix Verte, 76000 Rouen, France","Kebab shop",,,5,831,"C3RX+RC Rouen, France","https://maps.google.com/maps?q=+%4049.4421234,1.0985537","https://www.google.com/maps/place/C%C3%80LM+Comme+%C3%A0+la+maison/data=!4m2!3m1!1s0x47e0ddb2812ab107:0xef8a1c4b4a8c7ede"
"Demi Lune kebab","49.4280899,1.0678445","44 Av. Jean Jaurès, 76140 Le Petit-Quevilly, France","Kebab shop","+33 2 35 00 45 47","http://linktr.ee/Demi_Lune_petit.quevilly",4.4,282,"C3H9+64 Le Petit-Quevilly, France","https://maps.google.com/maps?q=+%4049.4280899,1.0678445","https://www.google.com/maps/place/Demi+Lune+kebab/data=!4m2!3m1!1s0x47e0de1a696a4935:0xbfa641d8d26f314d"
"Djurdjura","49.4398059,1.0974178","52 Rue de la République, 76000 Rouen, France","Fast food restaurant","+33 2 35 07 34 45",,3.6,199,"C3QW+WX Rouen, France","https://maps.google.com/maps?q=+%4049.4398059,1.0974178","https://www.google.com/maps/place/Djurdjura/data=!4m2!3m1!1s0x47e0de7f335e5f2f:0x3403ca5668d2d44a"
"Eat's good sotteville les rouen","49.4183885,1.0908488","80 Rue Garibaldi, 76300 Sotteville-lès-Rouen, France","Restaurant","+33 2 35 71 85 12","http://www.eatsgood.fr/",4,365,"C39R+98 Sotteville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4183885,1.0908488","https://www.google.com/maps/place/Eat's+good+sotteville+les+rouen/data=!4m2!3m1!1s0x47e0de432b3d78c1:0xdfcb0bdf0e471a84"
"Eat’s good","49.4630624,1.0531539","135 Rte de Dieppe, 76250 Déville-lès-Rouen, France","Doner kebab restaurant","+33 2 32 82 05 12",,4.4,,"F373+67 Déville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4630624,1.0531539","https://www.google.com/maps/place/Eat%E2%80%99s+good/data=!4m2!3m1!1s0x47e0e76d770d9149:0x99d0c15f31aad30c"
"El jasmin","49.4264418,1.0767033","2 Rue Lethuillier Pinel, 76100 Rouen, France","Halal restaurant","+33 9 82 48 36 17",,3.8,,"C3GG+HM Rouen, France","https://maps.google.com/maps?q=+%4049.4264418,1.0767033","https://www.google.com/maps/place/El+jasmin/data=!4m2!3m1!1s0x47e0df44cf40b48d:0x80b6475a4f5e4ce3"
"Etoile du sud","49.4337105,1.0873187","12 Pl. des Emmurées, 76100 Rouen, France","Kebab shop","+33 6 65 20 97 15","https://etoile-du-sud.eatbu.com/",4.5,,"C3MP+FW Rouen, France","https://maps.google.com/maps?q=+%4049.4337105,1.0873187","https://www.google.com/maps/place/Etoile+du+sud/data=!4m2!3m1!1s0x47e0df6fba7eaf77:0x79a481ee3cdcefb5"
"FOOD'YS","49.4359004,1.0849262","40 Bd d'Orléans, 76100 Rouen, France","Fast food restaurant","+33 2 32 10 22 09","https://food-ys.fr/foodys-fr",4.9,,"C3PM+9X Rouen, France","https://maps.google.com/maps?q=+%4049.4359004,1.0849262","https://www.google.com/maps/place/FOOD'YS/data=!4m2!3m1!1s0x47e0dfb9eccac5a7:0x10001a5416ed1493"
"Flash pizza","49.4016996,1.0566155","32 Pl. du Quebec, 76120 Le Grand-Quevilly, France","Fast food restaurant","+33 2 35 69 15 30",,3.9,,"C324+MJ Le Grand-Quevilly, France","https://maps.google.com/maps?q=+%4049.4016996,1.0566155","https://www.google.com/maps/place/Flash+pizza/data=!4m2!3m1!1s0x47e0e128e7fa9e2d:0xbd90cd70423e7b88"
"Food 76 kebab","49.4405543,1.0974353","43 Rue de la République, 76000 Rouen, France","Fast food restaurant","+33 9 53 32 64 89",,4.2,130,"C3RW+6X Rouen, France","https://maps.google.com/maps?q=+%4049.4405543,1.0974353","https://www.google.com/maps/place/Food+76+kebab/data=!4m2!3m1!1s0x47e0de7f4cc40001:0xe74f63c0a816322d"
"Food Addict","49.4232711,1.0901275","7 Rue Pierre Corneille, 76300 Sotteville-lès-Rouen, France","Halal restaurant","+33 9 56 36 40 01",,5,13,"C3FR+83 Sotteville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4232711,1.0901275","https://www.google.com/maps/place/Food+Addict/data=!4m2!3m1!1s0x47e0df020ca7c295:0x631a4ba98a3497fb"
"Galaxy","49.4403661,1.1286446","34 Rte de Darnétal, 76000 Rouen, France","Pizza restaurant","+33 2 77 07 60 70","http://www.galaxyrouen.fr/",4.3,530,"C4RH+4F Rouen, France","https://maps.google.com/maps?q=+%4049.4403661,1.1286446","https://www.google.com/maps/place/Galaxy/data=!4m2!3m1!1s0x47e0dea08fb464ff:0xd511bdc098909a15"
"Grill istanbul","49.4320011,1.0868985","114 Rue Saint-Sever, 76100 Rouen, France","Kebab shop","+33 2 35 72 45 55",,4.4,,"C3JP+RQ Rouen, France","https://maps.google.com/maps?q=+%4049.4320011,1.0868985","https://www.google.com/maps/place/Grill+istanbul/data=!4m2!3m1!1s0x47e0de71e623dd3b:0xa3b889f966aaf904"
"Guilef Food","49.4449731,1.0868654","81 Rue Cauchoise, 76000 Rouen, France","Fast food restaurant","+33 9 81 31 55 85","http://guileffood.fr/",4.8,,"C3VP+XP Rouen, France","https://maps.google.com/maps?q=+%4049.4449731,1.0868654","https://www.google.com/maps/place/Guilef+Food/data=!4m2!3m1!1s0x47e0dd9683178f75:0xaaa25f23903806bd"
"Kebab De La Fac","49.4460673,1.0776479","26 Rue de Constantine, 76000 Rouen, France","Kebab shop","+33 9 52 43 98 36",,3.5,,"C3WH+C3 Rouen, France","https://maps.google.com/maps?q=+%4049.4460673,1.0776479","https://www.google.com/maps/place/Kebab+De+La+Fac/data=!4m2!3m1!1s0x47e0dde12f744c49:0x9f601fd01fd0ed80"
"Kebab La Fontaine","49.442184,1.1059543","5 Rue St Vivien, 76000 Rouen, France","Kebab shop","+33 2 35 88 56 80","https://kebab-la-fontaine.eatbu.com/",4.4,182,"C4R4+V9 Rouen, France","https://maps.google.com/maps?q=+%4049.442184,1.1059543","https://www.google.com/maps/place/Kebab+La+Fontaine/data=!4m2!3m1!1s0x47e0dc2a6189f335:0x2de7f0c77083e0cc"
"Kebab La Medina","49.4714929,1.0498043","408 Rte de Dieppe, 76250 Déville-lès-Rouen, France","Restaurant","+33 2 35 37 14 86","https://www.facebook.com/La-Medina-Deville-107805241023078/?ref=bookmarks",4.2,225,"F2CX+HW Déville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4714929,1.0498043","https://www.google.com/maps/place/Kebab+La+Medina/data=!4m2!3m1!1s0x47e0e766ee9a7625:0xeb50c3b85bd91b7a"
"Kebab Le Bosphore","49.4400867,1.1459688","7 place du Maréchal Foch, 76160 Darnétal, France","Kebab shop","+33 2 32 12 95 38","https://lebosphorekebab.fr/#notre-carte",4,210,"C4RW+29 Darnétal, France","https://maps.google.com/maps?q=+%4049.4400867,1.1459688","https://www.google.com/maps/place/Kebab+Le+Bosphore/data=!4m2!3m1!1s0x47e0ddeeb0a76bd7:0xbb83d358e34d41b"
